Message_Name,Clickthrough__Date,URL
Founders Day 2024 Launch - group 4,6/12/2024 13:44,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:23,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 5,6/13/2024 2:44,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 5,6/12/2024 12:23,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 5,6/13/2024 12:10,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:23,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 4,6/12/2024 14:43,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 19:39,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 4,6/12/2024 15:43,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 14:53,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 16:23,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:50,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 14:04,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/28/2024 21:37,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 14:53,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 4,6/13/2024 2:29,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 15:52,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 20:59,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 6,6/15/2024 11:53,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 17:57,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 22:53,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 16:55,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/13/2024 9:33,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/15/2024 2:53,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 5,6/13/2024 0:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 15:53,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 5,6/12/2024 13:33,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 14:35,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 14:32,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/16/2024 14:02,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/13/2024 14:10,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 5,6/14/2024 9:13,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:38,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:23,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:23,https://www.instagram.com/rit.alumni/
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://www.facebook.com/RITalumni
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://www.linkedin.com/groups/72797
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://www.rit.edu/
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 4,6/12/2024 16:35,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/13/2024 17:52,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 4,6/12/2024 12:24,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 17:39,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:23,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 13:00,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 5,6/12/2024 12:24,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:23,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/15/2024 14:49,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 15:53,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:23,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://www.rit.edu/
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://www.instagram.com/rit.alumni/
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:21,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://www.facebook.com/RITalumni
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://www.linkedin.com/groups/72797
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://www.facebook.com/RITalumni
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://www.rit.edu/
Founders Day 2024 Launch - group 1,6/12/2024 12:21,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:21,https://www.instagram.com/rit.alumni/
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://www.linkedin.com/groups/72797
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://www.instagram.com/rit.alumni/
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 4,6/13/2024 7:59,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:47,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 13:58,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:28,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:34,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 16:07,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:26,https://www.facebook.com/RITalumni
Founders Day 2024 Launch - group 3,6/12/2024 20:49,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:23,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 5,6/12/2024 12:24,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:54,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 4,6/12/2024 12:24,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:27,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:21,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/13/2024 10:26,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:23,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 20:25,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 18:14,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:41,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:35,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 17:59,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 18:09,https://www.rit.edu/
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/14/2024 17:40,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 3,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 2,6/12/2024 12:47,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/12/2024 12:22,https://impact.rit.edu/amb/195social
Founders Day 2024 Launch - group 1,6/27/2024 21:49,https://impact.rit.edu/amb/195social
